hospitalDrugCode,name,genericName,dosageForm,strength,unit,currentStock,packageSize,pricePerBox,expiryDate,category,notes
Eli003,ONPS(Oral Natural Phosphate SOL),ONPS(Oral Natural Phosphate SOL),SOL,90,ml,47,1,20.00,2025-12-9,MODERN,90 ml
EXE002,enema 10 ml,enema 10 ml,SOL,,,5,10,65.00,2027-12-17,MODERN,
EXT003,CHLORAMphenicol EAR drop,CHLORAMphenicol EAR drop,SOL,1,% 10 ml,190,1,22.00,2026-9-18,MODERN,1 % 10 ml
EXT004,NEOPOLYCIN EYE drop,NEOPOLYCIN EYE drop,SOL,2,+5000+0.025,168,1,17.56,2028-4-22,MODERN,2+5000+0.025
EXT006,HISTA-OPHสูตร(Tetrahydrozoline HCl+Antazoline HCl),HISTA-OPHสูตร(Tetrahydrozoline HCl+Antazoline HCl),SOL,0.4,+0.5 mg,406,1,15.10,2028-6-25,MODERN,0.4+0.5 mg
EXT007,TETRACAINE,TETRACAINE,SOL,0.5,% 15 ml,5,1,168.61,2026-8-31,MODERN,0.5% 15 ml
EXT021,Spersadex (สูตร ),Spersadex (สูตร ),SOL,10,ml,12,1,53.50,2026-8-27,MODERN,10 ml
EXT026,LIDOCAINE viscos USP2%(100ml),LIDOCAINE viscos USP2%(100ml),SOL,20,mg/ml,17,1,220.00,2027-10-31,MODERN,20mg/ml
EXT030,Tar shampoo,Tar shampoo,SOL,120,ml,90,1,72.00,2026-11-30,MODERN,120 ml
EXT036,Docusate sodium,Docusate sodium,SOL,15,ml,28,1,47.08,2027-1-28,MODERN,15 ml
EXT041,TCA30%,TCA30%,SOL,30,ml,1,1,40.00,2026-4-23,MODERN,30 ml
EXT045,PoDOPhyllin Paint,PoDOPhyllin Paint,SOL,25,% (15ml),1,1,280.00,2026-1-10,MODERN,25% (15ml)
INJ223,Sodium chloride,Sodium chloride,SOL,3,%(500ml),130,1,30.40,2028-6-10,MODERN,3%(500ml)
LVP012,ACETAR,ACETAR,SOL,1000,ml,170,1,40.00,1930-7-5,MODERN,1000 ml
LVP017,Voluven,Voluven,SOL,500,ml,5,1,567.10,2026-12-19,MODERN,500 ml
LVP018,D10N/2,D10N/2,SOL,1000,,160,1,33.00,1930-1-17,MODERN,1000
LVP022,Sterile water for INJ,Sterile water for INJ,SOL,1000,ml,491,1,26.00,1930-4-1,MODERN,1000 ml
NAS003,Oxymetazoline NASal drops,Oxymetazoline NASal drops,SOL,0.03,%,20,1,31.62,2028-1-4,MODERN,0.03%
SOL138,ALCOGOL GEL 450 ml vej,ALCOGOL GEL 450 ml vej,SOL,450,ml,85,1,41.00,2028-6-8,MODERN,450 ml
SOL001,NORMAL SALINE(Irrigation),NORMAL SALINE(Irrigation),SOL,1000,ML,396,1,25.00,1930-5-31,MODERN,1000 ML
SOL002,STERILE WATER(Irrigation),STERILE WATER(Irrigation),SOL,1000,ML,290,1,25.00,1930-7-10,MODERN,1000 ML
SOL005,salbutamo,salbutamo,SOL,0.5,% 20ml,76,1,50.00,2027-1-14,MODERN,0.5 % 20ml
SOL006,AMMONIA,AMMONIA,SOL,450,ml,11,1,119.84,2026-11-28,MODERN,450 ml
SOL007,alcohol 70 %,alcohol 70 %,SOL,450,ml,331,1,27.82,2028-5-9,MODERN,450 ml
SOL008,ALCOHOL 60 ml,ALCOHOL 60 ml,SOL,70,%,573,1,7.49,2028-3-26,MODERN,70 %
SOL010,chlor-HEXIDINE,chlor-HEXIDINE,SOL,4,%5Lit,14,1,577.80,2028-3-7,MODERN,4 %5Lit
SOL011,FORMALDEHYDE,FORMALDEHYDE,SOL,38,%/450ml,12,1,32.10,1930-2-13,MODERN,38 %/450ml
SOL012,HYDROGEN peroxide,HYDROGEN peroxide,SOL,20,V/450ml,3,1,26.75,2027-3-11,MODERN,20 V/450ml
SOL013,POVIDONE IODINE,POVIDONE IODINE,SOL,10,% 450 ml,2,1,99.00,1930-6-20,MODERN,10 % 450 ml
SOL022,sodium phosphates-Swiff,sodium phosphates-Swiff,SOL,45,ml,186,1,34.24,2028-1-20,MODERN,45 ml
SOL125,SMW,SMW,SOL,95,ml,17,1,16.05,2028-5-9,MODERN,95 ml
SOL126,M.Potassium citrate,M.Potassium citrate,SOL,1000,ml,15,1,35.00,2026-2-21,MODERN,1000 ml
SOL128,Morphine sulfate,Morphine sulfate,SOL,10,mg/5ml,124,1,50.00,2026-10-16,MODERN,10 mg/5ml
SOL129,Chlorhexidine 0.12%(C-20),Chlorhexidine 0.12%(C-20),SOL,0.12,% 180 ml,229,1,24.61,2029-3-21,MODERN,0.12% 180 ml
SOL131,Lugol SOLution,Lugol SOLution,SOL,,,3,1,27.50,2027-2-28,MODERN,
SOL132,Alcohol95%,Alcohol95%,SOL,450,ml,36,1,95.00,2029-10-21,MODERN,450 ml
SOL021,Sevorane,Sevorane,SOL,250,,1,1,3638.00,2027-11-18,MODERN,250
SOL023,Chlorhexidine2% in Alcohol(120ml),Chlorhexidine2% in Alcohol(120ml),SOL,20,mg+alc0.7ml,89,1,75.00,2028-5-27,MODERN,20 mg+alc0.7ml
SYR037,Levetiracitam SOL. 300 ml,Levetiracitam SOL. 300 ml,SOL,100,mg/ml,9,1,1500.00,2026-10-7,MODERN,100 mg/ml
SPR001,Lidocaine 10 %,Lidocaine 10 %,SPR,50,ml,11,1,250.00,2027-1-15,MODERN,50 ml
SUP001,Hydrocortsone+ZnO+Benzocaine,Hydrocortsone+ZnO+Benzocaine,SUP,,,11,10,50.00,2028-5-7,MODERN,
SUP002,Paracetamol SUPpo,Paracetamol SUPpo,SUP,250,mg,1,100,642.00,2026-2-28,MODERN,250mg
NEB001,Pulmicort nebuliser SUSp.,Pulmicort nebuliser SUSp.,SUS,1,mg/2ml,44,20,854.93,2026-6-30,MODERN,1mg/2ml
SUS001,ALBENdazole,ALBENdazole,SUS,100,mg/5ml,1,1,9.00,2027-8-2,MODERN,100mg/5ml
SUS002,ibuprofen,ibuprofen,SUS,100,mg/5 ml,100,1,15.00,2028-5-7,MODERN,100 mg/5 ml
SUS003,DOMPERIDONE,DOMPERIDONE,SUS,5,mg/ml,239,1,5.90,2028-5-13,MODERN,5 mg/ml
SUS006,MOM,MOM,SUS,240,ml,88,1,29.96,2028-4-24,MODERN,240 ml
SUS007,antacid SUSp,antacid SUSp,SUS,,,308,1,17.12,2028-6-27,MODERN,
SUS009,NYSTATIN(12ml),NYSTATIN(12ml),SUS,100,/000IU/1ml,52,1,25.00,2028-11-21,MODERN,100/000IU/1ml
SUS010,CO-trimoxazole,CO-trimoxazole,SUS,200,+40mg/5ml,14,1,11.00,2027-3-29,MODERN,200+40mg/5ml
SUS013,Azithromycin SUSp.,Azithromycin SUSp.,SUS,200,mg/5ml,180,1,90.95,2028-2-21,MODERN,200mg/5ml
SUS028,amoxicillin+clavulanic,amoxicillin+clavulanic,SUS,457,mg/5ml,120,1,68.48,2026-11-7,MODERN,457mg/5ml
950605,Berclomine,Berclomine,SYR,dicy5+simethi50,,100,1,16.00,2027-6-4,MODERN,dicy5+simethi50
DRO001,Paracetamol drop,Paracetamol drop,SYR,60,mg/0.6ml,51,1,18.00,1930-1-15,MODERN,60mg/0.6ml
Herb025,ยาน้ำมะขามป้อม (120ml),ยาน้ำมะขามป้อม (120ml),SYR,400,gm,262,1,14.80,2027-5-11,MODERN,400gm
SUS005,LACTULOSE,LACTULOSE,SYR,100,ml,165,1,38.52,2028-1-15,MODERN,100 ml
SYR001,salbutamol,salbutamol,SYR,2,mg/5ml,147,1,8.56,2027-1-10,MODERN,2mg/5ml
SYR002,CHLORpheniramine,CHLORpheniramine,SYR,2.5,mg/5ml,359,1,6.32,2027-3-11,MODERN,2.5 mg/5ml
SYR004,DICLOXAcillin sodium,DICLOXAcillin sodium,SYR,62.5,mg/5ml,270,1,18.30,2027-5-20,MODERN,62.5mg/5ml
SYR005,amoxycillin,amoxycillin,SYR,125,mg/5ml,399,1,11.00,2028-4-17,MODERN,125mg/5ml
SYR007,SODIUM valproate 60 ml,SODIUM valproate 60 ml,SYR,200,mg/ml,70,1,100.00,2028-3-17,MODERN,200 mg/ml
SYR009,ERYTHROMYCIN estolate,ERYTHROMYCIN estolate,SYR,125,mg/5 ml,40,1,18.00,2027-11-15,MODERN,125 mg/5 ml
SYR012,VITAMIN_multi,VITAMIN_multi,SYR,,,90,1,11.00,2026-11-4,MODERN,
SYR013,ferrous FUMARATE,ferrous FUMARATE,SYR,15,mg/0.6ml,171,1,28.89,2028-5-8,MODERN,15mg/0.6ml
SYR014,guaifenesin,guaifenesin,SYR,60,ml,633,1,12.00,2028-2-21,MODERN,60 ml
SYR033,CARBAMAZEPINE 100MG/5ML,CARBAMAZEPINE 100MG/5ML,SYR,2,% 250 ML,1,1,189.39,2027-8-31,MODERN,2% 250 ML
SYR035,Carbocysteine SYR100mg/5ml,Carbocysteine SYR100mg/5ml,SYR,60,ml,350,1,12.00,2028-3-21,MODERN,60ml
SYR036,Cephalexin SYR.60ml,Cephalexin SYR.60ml,SYR,125,mg,20,1,18.19,2026-8-30,MODERN,125mg
SYR038,Chloral hydrate(30ml),Chloral hydrate(30ml),SYR,40,mg/ml,2,1,120.00,2025-10-14,MODERN,40 mg/ml
1670056,Ursodeoxycholic acid,Ursodeoxycholic acid,TAB,250,mg,2,100,650.00,2028-5-10,MODERN,250 mg
1670072,clarithromycin,clarithromycin,TAB,500,mg,7,100,900.00,2027-4-29,MODERN,500 mg
1680005,Rivaroxaban 20 mg,Rivaroxaban 20 mg,TAB,20,mg,10,100,5542.60,2027-4-30,MODERN,20 mg
208,ยาหอมนวโกฐ,ยาหอมนวโกฐ,TAB,,,15,100,50.00,2028-3-16,MODERN,
360767,LIVIAL (tibolone 2.5 mg),LIVIAL (tibolone 2.5 mg),TAB,,,2,28,603.48,2026-3-31,MODERN,
651995,Rivaroxaban 15 mg,Rivaroxaban 15 mg,TAB,,,1,100,4387.00,2027-1-31,MODERN,
EXT001,CLOTRIMAZOLE vaginal,CLOTRIMAZOLE vaginal,TAB,100,mg,57,6,10.00,2029-1-9,MODERN,100 mg
Herb020,ยาหอมอินทจักร์,ยาหอมอินทจักร์,TAB,200,mg,5,75,45.00,2027-8-25,MODERN,200mg
TAB018,COLCHICINE,COLCHICINE,TAB,0.6,mg,113,500,135.00,2028-5-27,MODERN,0.6 mg
TAB002,THIAMINE,THIAMINE,TAB,100,MG,11,1000,200.00,2028-3-5,MODERN,100 MG
TAB004,PYRIDOXINE ( B6 ),PYRIDOXINE ( B6 ),TAB,100,mg,1,500,400.00,2028-1-22,MODERN,100 mg
TAB011,Clozapine,Clozapine,TAB,25,mg,40,100,70.00,2028-2-26,MODERN,25 mg
TAB012,Hydralazine,Hydralazine,TAB,25,mg,112,500,148.00,2027-6-25,MODERN,25 mg
TAB014,ALBENDAZOLE,ALBENDAZOLE,TAB,200,mg,7,100,165.00,2027-12-10,MODERN,200 mg
TAB016,NICLOSAMIDE,NICLOSAMIDE,TAB,500,mg,58,4,6.00,2027-11-4,MODERN,500 mg
TAB017,PRAZIQUANTEL,PRAZIQUANTEL,TAB,600,mg,3,100,500.00,2028-5-23,MODERN,600 mg
TAB018,ALLOPURINOL,ALLOPURINOL,TAB,100,mg,70,500,162.00,2028-6-13,MODERN,100 mg
TAB019,DICLOFENAC,DICLOFENAC,TAB,25,mg,26,1000,117.70,2028-1-10,MODERN,25 mg
TAB028,ALPRAzolam,ALPRAzolam,TAB,0.5,mg,40,100,65.00,2027-10-24,MODERN,0.5 mg
TAB030,CLONAZEPAM,CLONAZEPAM,TAB,0.5,,10,500,200.00,2028-12-26,MODERN,0.5
TAB031,CLONAZEPAM,CLONAZEPAM,TAB,2,mg,11,500,380.00,2028-9-27,MODERN,2 mg
TAB032,Diazepam,Diazepam,TAB,2,mg,18,500,85.60,2027-11-22,MODERN,2 mg
TAB033,DIAZEPAM,DIAZEPAM,TAB,5,mg,8,1000,246.10,2028-1-27,MODERN,5 mg
TAB035,LORAZEPAM,LORAZEPAM,TAB,0.5,mg,1,1000,220.00,2027-3-7,MODERN,0.5 mg
TAB037,Chlorpromazine,Chlorpromazine,TAB,25,mg,2,1000,250.00,2028-3-17,MODERN,25 mg
TAB040,CLOZAPINE..,CLOZAPINE..,TAB,100,mg,4,500,730.00,2028-12-11,MODERN,100 mg
TAB041,Haloperidol,Haloperidol,TAB,0.5,mg,3,1000,180.00,2029-5-9,MODERN,0.5 mg
TAB042,HALOPERIDOL,HALOPERIDOL,TAB,2,mg,4,1000,450.00,2028-6-7,MODERN,2 mg
TAB043,HaloperiDOL,HaloperiDOL,TAB,5,mg,3,1000,700.00,2027-11-1,MODERN,5 mg
TAB045,PERPHENAZINE,PERPHENAZINE,TAB,4,mg,12,1000,340.00,2027-12-3,MODERN,4 mg
TAB048,TRIFLUOPERAZINE,TRIFLUOPERAZINE,TAB,5,mg,2,1000,551.05,2027-9-9,MODERN,5 mg
TAB049,amitriptyline,amitriptyline,TAB,10,mg,12,500,166.92,2029-1-21,MODERN,10 mg
TAB050,AMITRIPTYLINE,AMITRIPTYLINE,TAB,25,mg,16,500,251.45,2029-1-13,MODERN,25 mg
TAB052,FluOXETINE,FluOXETINE,TAB,20,mg,35,500,226.29,2028-4-29,MODERN,20 mg
TAB054,nortriptyline,nortriptyline,TAB,10,mg,3,1000,450.00,2027-2-3,MODERN,10 mg
TAB055,simethicone,simethicone,TAB,80,mg,20,500,192.60,1930-7-2,MODERN,80 mg
TAB056,DOMPERIDONE,DOMPERIDONE,TAB,10,mg,13,500,84.00,1930-6-11,MODERN,10 mg
TAB057,Hyoscine,Hyoscine,TAB,10,mg,20,500,420.00,2028-3-10,MODERN,10 mg
TAB058,METOCLOPRAMIDE,METOCLOPRAMIDE,TAB,10,mg,5,1000,210.00,2027-8-1,MODERN,10 mg
TAB059,NORFLOXACIN,NORFLOXACIN,TAB,200,MG,5,500,290.00,1930-4-1,MODERN,200 MG
TAB063,OFLOXACIN,OFLOXACIN,TAB,200,MG,26,100,120.00,2028-4-23,MODERN,200 MG
TAB065,ASCORBIC acid,ASCORBIC acid,TAB,100,mg,13,1000,134.75,2028-6-2,MODERN,100 mg
TAB066,VIT_MULTI,VIT_MULTI,TAB,,,18,1000,160.00,2028-3-3,MODERN,
TAB068,VERAPAMIL,VERAPAMIL,TAB,40,mg,48,100,93.00,2028-2-17,MODERN,40 mg
TAB071,THYROXINE ( L ),THYROXINE ( L ),TAB,100,mcg,3,500,175.00,2027-9-16,MODERN,100 mcg
TAB073,THEOPHYLLINE,THEOPHYLLINE,TAB,200,mg,20,100,82.39,2028-2-28,MODERN,200 mg
TAB079,SIMVASTATIN,SIMVASTATIN,TAB,20,mg,109,1000,454.75,2028-4-21,MODERN,20 mg
TAB080,ROXITHROMYCIN,ROXITHROMYCIN,TAB,150,mg,8,100,89.00,2028-4-6,MODERN,150 mg
TAB082,DIGOXIN,DIGOXIN,TAB,0.25,mg,3,1000,320.00,2027-9-25,MODERN,0.25 mg
TAB090,Amirolide+HCTZ,Amirolide+HCTZ,TAB,5,+50 mg,5,500,225.00,2029-11-20,MODERN,5+50 mg
TAB091,Furosemide,Furosemide,TAB,40,mg,44,500,139.10,2028-1-6,MODERN,40 mg
TAB092,HCTZ,HCTZ,TAB,25,mg,5,500,150.00,2026-11-19,MODERN,25 mg
TAB093,FUROSEMIDE,FUROSEMIDE,TAB,500,mg,1,500,995.10,2029-7-2,MODERN,500 mg
TAB094,Atenolol,Atenolol,TAB,50,mg,110,100,16.50,2028-1-20,MODERN,50 mg
TAB095,PROPRANOLOL,PROPRANOLOL,TAB,10,mg,74,500,125.00,2027-1-10,MODERN,10 mg
TAB096,methylDOPa,methylDOPa,TAB,250,mg,13,500,663.40,1930-2-13,MODERN,250 mg
TAB098,CAPTOPRIL,CAPTOPRIL,TAB,25,mg,3,500,700.00,2027-7-20,MODERN,25 mg
TAB100,CALCIUM carbonate,CALCIUM carbonate,TAB,600,mg,657,100,21.40,2029-5-22,MODERN,600 mg
TAB102,Enalapril,Enalapril,TAB,5,mg,161,1000,158.00,2027-6-6,MODERN,5 mg
TAB103,ENALAPRIL maleate,ENALAPRIL maleate,TAB,20,MG,87,1000,255.00,2027-7-4,MODERN,20 MG
TAB104,ISOSORBIDE,ISOSORBIDE,TAB,10,mg,172,100,53.50,2028-3-17,MODERN,10 mg
TAB106,ISDN SL,ISDN SL,TAB,5,mg,10,500,404.46,2028-5-7,MODERN,5 mg
TAB109,AMLODIpine,AMLODIpine,TAB,5,mg,1276,500,100.00,2028-5-11,MODERN,5 mg
TAB112,SALBUTAMOL,SALBUTAMOL,TAB,2,mg,2,1000,119.84,2028-3-25,MODERN,2 mg
TAB113,ACYCLOVIR,ACYCLOVIR,TAB,200,mg,12,100,69.00,1930-5-12,MODERN,200 mg
TAB114,FERROUS fumarate,FERROUS fumarate,TAB,200,mg,113,1000,180.00,2027-5-31,MODERN,200 mg
TAB116,DOXAZOXIN,DOXAZOXIN,TAB,4,mg,204,100,31.03,2028-3-23,MODERN,4 mg
TAB117,Folic acid,Folic acid,TAB,5,mg,122,1000,160.00,2028-5-31,MODERN,5 mg
TAB118,Sodium BICARbonate,Sodium BICARbonate,TAB,300,mg,30,1000,80.25,2029-5-19,MODERN,300 mg
TAB119,Levonorgestrel + EE,Levonorgestrel + EE,TAB,150,+30 mcg,56,28,5.50,1930-2-18,MODERN,150+30 mcg
TAB121,SODIUM VALPROATE CHRONO,SODIUM VALPROATE CHRONO,TAB,500,mg,250,30,250.00,2027-2-28,MODERN,500 mg
TAB125,CPM,CPM,TAB,4,mg,56,1000,32.00,1930-4-17,MODERN,4 mg
TAB127,TRAZODONE,TRAZODONE,TAB,50,mg,17,500,607.00,2028-2-21,MODERN,50 mg
TAB129,DIMENhydinate,DIMENhydinate,TAB,50,mg,30,1000,170.00,2029-6-18,MODERN,50 mg
TAB130,Hydroxyzine,Hydroxyzine,TAB,10,mg,6,1000,110.00,2029-9-13,MODERN,10 mg
TAB132,dextromethopHAN,dextromethopHAN,TAB,15,mg,2,1000,243.00,1930-5-7,MODERN,15 mg
TAB133,PARACETAMOL,PARACETAMOL,TAB,500,MG,129,500,110.00,1930-5-23,MODERN,500 MG
TAB134,Glyceryl guiacolate,Glyceryl guiacolate,TAB,100,mg,92,1000,128.00,2029-4-1,MODERN,100 mg
TAB141,Metformin,Metformin,TAB,500,mg,424,500,103.79,2029-5-8,MODERN,500 mg
TAB142,Glipizide,Glipizide,TAB,5,mg,442,500,52.00,2028-5-9,MODERN,5 mg
TAB144,ERGOtamine+caffeine,ERGOtamine+caffeine,TAB,1,+100 mg,30,10,27.00,2028-3-20,MODERN,1+100 mg
TAB150,METHIMAZOLE,METHIMAZOLE,TAB,5,mg,32,500,350.00,2028-4-22,MODERN,5 mg
TAB151,P T U,P T U,TAB,50,mg,7,500,250.00,2027-11-29,MODERN,50 mg
TAB152,PredniSOLone,PredniSOLone,TAB,5,mg,15,1000,230.00,2029-5-24,MODERN,5 mg
TAB156,NORETHISTERONE,NORETHISTERONE,TAB,5,mg,5,100,126.00,2027-4-30,MODERN,5 mg
TAB157,CARBAMAZEPINE,CARBAMAZEPINE,TAB,200,mg,18,500,490.00,2029-1-8,MODERN,200 mg
TAB158,PHEnobarbital,PHEnobarbital,TAB,60,mg,2,1000,278.20,2027-8-1,MODERN,60 mg
TAB159,PhenytOIN BASE,PhenytOIN BASE,TAB,50,mg,11,250,647.35,2029-10-6,MODERN,50 mg
TAB161,levoDOPa+carbiDOPa,levoDOPa+carbiDOPa,TAB,100,/25 mg,15,100,235.40,2028-6-22,MODERN,100/25 mg
TAB162,BENZHEXOL,BENZHEXOL,TAB,2,mg,13,500,104.81,1930-5-21,MODERN,2 mg
TAB163,CYPROHEPTADINE,CYPROHEPTADINE,TAB,4,mg,1,1000,70.00,1930-1-17,MODERN,4 mg
TAB172,MADOPAR(LevoDOPa+Benserazide),MADOPAR(LevoDOPa+Benserazide),TAB,200,/50 mg,52,100,524.30,2028-5-29,MODERN,200/50 mg
TAB174,WARFARIN 1,WARFARIN 1,TAB,1,mg,72,100,150.00,2027-11-16,MODERN,1 mg
TAB175,WARFARIN 2,WARFARIN 2,TAB,2,mg,70,100,160.00,2028-5-16,MODERN,2 mg
TAB176,WARFARIN 3,WARFARIN 3,TAB,3,mg,30,100,195.00,2028-5-13,MODERN,3 mg
TAB177,WARFARIN 5,WARFARIN 5,TAB,5,MG,35,100,225.00,2028-5-10,MODERN,5 MG
TAB179,Clopidogrel,Clopidogrel,TAB,75,mg,74,100,208.65,2027-2-9,MODERN,75 mg
TAB180,amiodarone 200,amiodarone 200,TAB,200,mg,5,100,358.00,2027-2-28,MODERN,200 mg
TAB183,lamivudine 100,lamivudine 100,TAB,100,mg,20,28,87.36,2027-1-27,MODERN,100 mg
TAB185,Chlorpromazine,Chlorpromazine,TAB,100,mg,8,1000,650.00,2027-11-5,MODERN,100 mg
TAB189,BAClofen,BAClofen,TAB,10,mg,23,200,114.49,2028-3-19,MODERN,10 mg
TAB190,BROmoCRiptine,BROmoCRiptine,TAB,2.5,mg,5,100,640.00,2028-2-27,MODERN,2.5 mg
TAB193,CYCLO progynova,CYCLO progynova,TAB,,,15,21,125.19,2027-6-7,MODERN,
TAB194,LOSARTAN,LOSARTAN,TAB,50,mg,372,300,181.90,2029-6-3,MODERN,50 mg
TAB206,ยาอมมะแว้ง,ยาอมมะแว้ง,TAB,,,21,20,67.00,2028-3-25,MODERN,
TAB210,MECObalamine,MECObalamine,TAB,100,mcg,13,1000,300.00,2027-11-11,MODERN,100mcg
TAB225,EXLUTON,EXLUTON,TAB,0.5,MG,6,28,64.99,2029-3-31,MODERN,0.5MG
TAB231,loratadine,loratadine,TAB,10,mg,3,500,138.00,2029-4-3,MODERN,10 mg
TAB240,MORPHINE SL,MORPHINE SL,TAB,10,mg,53,30,350.00,2027-5-9,MODERN,10 mg
TAB244,Sertraline,Sertraline,TAB,50,mg,15,500,802.50,2028-5-26,MODERN,50 mg
TAB245,misoprostol,misoprostol,TAB,200,mcg,1,140,1231.57,2027-7-31,MODERN,200 mcg
TAB246,aspilets,aspilets,TAB,81,mg,120,1000,145.52,2028-4-30,MODERN,81 mg
TAB247,sodium valproate,sodium valproate,TAB,200,mg,45,100,112.35,2029-1-7,MODERN,200 mg
TAB248,MIANSERIN,MIANSERIN,TAB,30,mg,1,500,2100.00,2027-11-2,MODERN,30mg
TAB250,Carvedilol,Carvedilol,TAB,12.5,mg,20,100,267.00,2027-2-14,MODERN,12.5 mg
TAB251,metoprolol,metoprolol,TAB,100,mg,41,500,202.00,2028-5-26,MODERN,100 mg
TAB252,RISPERIDONE,RISPERIDONE,TAB,2,mg,18,500,1330.00,1930-6-19,MODERN,2 mg
TAB253,AZATHIOPRINE,AZATHIOPRINE,TAB,50,mg,13,100,324.00,2027-7-31,MODERN,50 mg
TAB254,PERPHENazine,PERPHENazine,TAB,8,MG,8,500,280.00,2027-9-19,MODERN,8 MG
TAB255,Hydroxychloroquine sulfate,Hydroxychloroquine sulfate,TAB,200,mg,82,100,450.00,2028-5-6,MODERN,200 mg
TAB256,Sulfasalazine,Sulfasalazine,TAB,500,MG,15,100,210.00,2028-5-21,MODERN,500 MG
TAB257,Methotrexate,Methotrexate,TAB,2.5,MG,15,100,325.00,2029-7-1,MODERN,2.5 MG
TAB260,PYRIDOSTIGMINE,PYRIDOSTIGMINE,TAB,60,mg,10,150,750.00,2028-1-8,MODERN,60 mg
TAB263,FINASTERIDE,FINASTERIDE,TAB,5,mg,85,30,54.00,2027-12-17,MODERN,5 mg
TAB266,risperidone (CL),risperidone (CL),TAB,1,mg,12,500,800.00,2028-1-27,MODERN,1 mg
TAB269,Gemfibrozil,Gemfibrozil,TAB,600,mg,30,500,490.00,2029-5-28,MODERN,600 mg
TAB273,Levonorgestrel (2's),Levonorgestrel (2's),TAB,750,mcg,8,1,20.00,2029-1-31,MODERN,750 mcg
TAB275,LAMOTRIGINE,LAMOTRIGINE,TAB,50,mg,20,30,285.00,2028-3-20,MODERN,50 mg
TAB276,TENOFOVIR,TENOFOVIR,TAB,300,mg,10,30,150.00,2025-9-12,MODERN,300 mg
TAB277,montelukast,montelukast,TAB,10,mg,100,28,128.00,2027-4-4,MODERN,10 mg
TAB280,Alfuzosin,Alfuzosin,TAB,10,mg,40,30,154.08,2028-4-24,MODERN,10 mg
TAB281,Topiramate,Topiramate,TAB,50,mg,5,60,510.00,2028-3-26,MODERN,50 mg
TAB283,Ciprofloxacin,Ciprofloxacin,TAB,250,mg,20,100,80.00,2028-4-10,MODERN,250 mg
TAB286,Levetiracetam,Levetiracetam,TAB,500,mg,40,60,190.00,2028-6-24,MODERN,500 mg
TAB288,Amoxicilin+Clavulanic,Amoxicilin+Clavulanic,TAB,625,,47,100,320.00,2026-12-31,MODERN,625
TAB292,Pioglitazone hydrochloride,Pioglitazone hydrochloride,TAB,15,mg,145,100,53.00,2028-2-1,MODERN,15 mg
TAB294,Benzbromarone,Benzbromarone,TAB,100,mg,4,100,760.00,2027-12-12,MODERN,100 mg
TAB295,Triferdine(Iodine.015+folic0.4+iron60.81),Triferdine(Iodine.015+folic0.4+iron60.81),TAB,,,273,1,35.31,2028-11-10,MODERN,
TAB297,Daflon(diosmin+hesperidin)daflon,Daflon(diosmin+hesperidin)daflon,TAB,500,mg,15,300,900.00,2028-3-13,MODERN,500 mg
TAB298,EntaCAPone,EntaCAPone,TAB,200,mg,1,100,3284.90,2027-9-10,MODERN,200 mg
TAB299,ASA,ASA,TAB,325,mg,2,500,353.10,2026-10-2,MODERN,325 mg
TAB300,Betahistine,Betahistine,TAB,12,mg,69,100,120.00,2028-5-23,MODERN,12 mg
TAB302,Atorvastatin,Atorvastatin,TAB,40,mg,1635,30,35.80,2028-5-31,MODERN,40 mg
TAB303,Diltiazem SR,Diltiazem SR,TAB,120,mg,4,60,181.90,2028-1-10,MODERN,120 mg
TAB304,Spironolactone,Spironolactone,TAB,25,mg,22,500,300.00,2028-5-23,MODERN,25 mg
TAB306,Manidipine,Manidipine,TAB,20,mg,50,100,104.00,2028-6-25,MODERN,20 mg
TAB307,Naproxen,Naproxen,TAB,250,mg,1,500,535.00,2028-4-28,MODERN,250 mg
TAB309,Tolperisone,Tolperisone,TAB,50,mg,21,1000,300.00,2029-6-13,MODERN,50 mg
TAB315,Morphine IR,Morphine IR,TAB,10,mg,6,100,190.00,2026-9-22,MODERN,10 mg
TAB317,NIfedipine20mg,NIfedipine20mg,TAB,20,mg,3,100,80.00,2026-4-22,MODERN,20 mg
TAB319,Zinc TAB,Zinc TAB,TAB,25,mg,1,500,802.50,2028-4-8,MODERN,25 mg
TAB320,Levofloxacin,Levofloxacin,TAB,500,mg,1,100,400.00,2027-7-17,MODERN,500 mg
TAB324,Lercanidipine,Lercanidipine,TAB,20,mg,25,28,79.18,2027-10-31,MODERN,20 mg
TAB325,Ticagrelor,Ticagrelor,TAB,90,mg,15,60,599.20,2027-9-30,MODERN,90 mg
TAB326,Bisoprolol,Bisoprolol,TAB,2.5,mg,60,100,150.00,2028-5-22,MODERN,2.5 mg
TAB327,Sitagliptin phosphate,Sitagliptin phosphate,TAB,100,mg,20,30,406.60,2026-6-21,MODERN,100 mg
TAB329,Dexamethasone,Dexamethasone,TAB,0.5,mg,3,1000,128.67,2027-5-25,MODERN,0.5 mg
TAB330,Etoricoxib,Etoricoxib,TAB,90,mg,33,25,144.45,2026-10-21,MODERN,90 mg
TAB332,Ivermectin,Ivermectin,TAB,6,mg,4,12,960.00,2028-11-14,MODERN,6 mg
TAB335,Favipiravir(Avigen),Favipiravir(Avigen),TAB,200,mg,14,50,535.00,2027-6-13,MODERN,200 mg
TAB338,Ketoconazole,Ketoconazole,TAB,200,mg,2,100,101.00,,MODERN,200 mg
